name_aoe2api,language_name,ID_aoe2api,id,match_score
Heavy Cavalry Archer,Heavy Cavalry Archer,5,474,100.0
Demolition Ship,Demolition Ship,26,527,100.0
Heavy Demolition Ship,Heavy Demolition Ship,27,528,100.0
Mameluke,Mameluke,85,282,100.0
Cavalier,Cavalier,62,283,100.0
Trebuchet,Trebuchet,22,42,100.0
Petard,Petard,21,440,100.0
Hussar,Hussar,67,441,100.0
Halberdier,Halberdier,14,359,100.0
Knight,Knight,61,38,100.0
Cavalry Archer,Cavalry Archer,4,39,100.0
Bombard Cannon,Bombard Cannon,50,36,100.0
Cataphract,Cataphract,71,40,100.0
Huskarl,Huskarl,77,41,100.0
Capped Ram,Capped Ram,55,422,100.0
Cannon Galleon,Cannon Galleon,24,420,100.0
Janissary,Janissary,81,46,100.0
Two-Handed Swordsman,Two-Handed Swordsman,18,473,100.0
Scorpion,Scorpion,57,279,100.0
Teutonic Knight,Teutonic Knight,95,25,100.0
Longboat,Longboat,33,250,100.0
Crossbowman,Crossbowman,2,24,100.0
Galleon,Galleon,32,442,100.0
War Galley,War Galley,31,21,100.0
Throwing Axeman,Throwing Axeman,97,281,100.0
Mangonel,Mangonel,51,280,100.0
War Elephant,War Elephant,99,239,100.0
Woad Raider,Woad Raider,103,232,100.0
Camel,Flaming Camel,59,1263,90.0
Camel,Camel Scout,59,1755,90.0
Galley,Fire Galley,30,1103,90.0
Archer,Rattan Archer,1,1129,90.0
Archer,Elephant Archer,1,873,90.0
Archer,Elite Elephant Archer,1,875,90.0
Crossbowman,Genoese Crossbowman,2,866,90.0
Camel,Camel Rider,59,329,90.0
Crossbowman,Elite Genoese Crossbowman,2,868,90.0
Skirmisher,Imperial Skirmisher,7,1155,90.0
Archer,Camel Archer,1,1007,90.0
Archer,Elite Camel Archer,1,1009,90.0
Hussar,Winged Hussar,67,1707,90.0
Militia,Flemish Militia,15,1699,90.0
Archer,Elite Fire Archer,1,1970,90.0
Trebuchet,Traction Trebuchet,22,1942,90.0
Camel,Imperial Camel Rider,59,207,90.0
Archer,Fire Archer,1,1968,90.0
Camel,Heavy Camel Rider,59,330,90.0
Trebuchet,Mounted Trebuchet,22,1923,90.0
Archer,Elite Rattan Archer,1,1131,90.0
Arbalest,Arbalester,3,492,89.0
Elite Cannon Galleon,Elite Keshik,25,1230,86.0
Elite Cannon Galleon,Elite Konnik,25,1255,86.0
Elite Berserk,Elite Chakram Thrower,70,1743,86.0
Elite Berserk,Elite Urumi Swordsman,70,1737,86.0
Elite Cannon Galleon,Elite Arambai,25,1128,86.0
Elite Berserk,Elite Battle Elephant,70,1134,86.0
Eagle Warrior,Elite Shotel Warrior,9,1018,86.0
Elite Karambit Warrior,Shotel Warrior,106,1016,86.0
Elite Cannon Galleon,Elite Gbeto,25,1015,86.0
Elite Cannon Galleon,Elite Konnik,25,1227,86.0
Elite Berserk,Elite Konnik (Dismounted),70,1253,86.0
Elite Cannon Galleon,Elite Leitis,25,1236,86.0
Elite Turtle Ship,Dragon Ship,39,1302,86.0
Elite Tarkan,Elite Steppe Lancer,94,1372,86.0
Elite Karambit Warrior,Elite Genitour,106,1012,86.0
Elite Cannon Galleon,Elite Caravel,25,1006,86.0
Elite Cannon Galleon,Elite Kipchak,25,1233,86.0
Elite Berserk,Elite Ballista Elephant,70,1122,86.0
Elite Karambit Warrior,Elite Liao Dao,106,1922,86.0
Cavalry Archer,Heavy Hei Guang Cavalry,4,1946,86.0
Elite Eagle Warrior,Eagle Scout,11,751,86.0
Elite Tarkan,Elite Magyar Huszar,94,871,86.0
Elite Cannon Galleon,Elite Kamayuk,25,881,86.0
Heavy Cavalry Archer,Tiger Cavalry,5,1949,86.0
War Elephant,War Chariot (Barrage),99,1980,86.0
Elite Tarkan,Elite Tiger Cavalry,94,1951,86.0
Elite Berserk,Elite White Feather Guard,70,1961,86.0
Elite Cannon Galleon,Elite Monaspa,25,1805,86.0
Elite Karambit Warrior,Elite Serjeant,106,1659,86.0
Elite Karambit Warrior,Xolotl Warrior,106,1570,86.0
Elite Karambit Warrior,Elite Serjeant,106,1661,86.0
Elite Tarkan,Elite Hussite Wagon,94,1706,86.0
Elite Cannon Galleon,Elite Obuch,25,1703,86.0
Elite Tarkan,Elite Ratha (Melee),94,1740,86.0
Elite Cannon Galleon,Elite Ghulam,25,1749,86.0
Elite Berserk,Elite Shrivamsha Rider,70,1753,86.0
Elite Cannon Galleon,Elite Ratha,25,1761,86.0
Fire Ship,Elite Fire Lancer,28,1903,86.0
Elite Karambit Warrior,Warrior Priest,106,1811,86.0
Elite Berserk,Elite Composite Bowman,70,1802,86.0
Siege Ram,Siege Elephant,56,1746,86.0
Heavy Camel,Heavy Rocket Cart,60,1907,86.0
Elite Cannon Galleon,Elite Boyar,25,878,86.0
Elite War Wagon,War Chariot (Focus Fire),102,1962,86.0
Wild Boar,Boyar,40,876,80.0
Long Swordsman,Jian Swordsman,17,1974,79.0
War Elephant,Armored Elephant,99,1744,79.0
Siege Onager,Siege Tower,53,1105,78.0
Elite Karambit Warrior,Arambai,106,1126,77.0
Monk,Dromon,49,1795,77.0
Deer,Shrivamsha Rider,41,1751,77.0
War Elephant,Battle Elephant,99,1132,76.0
War Elephant,Ballista Elephant,99,1120,76.0
Demolition Ship,Demolition Raft,26,1104,76.0
Hussar,Magyar Huszar,67,869,75.0
Long Swordsman,Urumi Swordsman,17,1735,74.0
Light Cavalry,Savar,66,1813,72.0
Trebuchet,Obuch,22,1701,72.0
Cavalier,Hei Guang Cavalry,62,1944,72.0
Elite Longboat,Elite Iron Pagoda,34,1910,71.0
Elite Conquistador,Elite Coustillier,76,1657,69.0
Elite Mangudai,Elite Organ Gun,88,1003,69.0
Monk,Konnik (Dismounted),49,1252,68.0
King,Slinger,20,185,68.0
Deer,Grenadier,41,1911,68.0
Deer,Xianbei Raider,41,1952,68.0
Monk,Monaspa,49,1803,68.0
War Wagon,Hussite Wagon,101,1704,67.0
Crossbowman,Composite Bowman,2,1800,67.0
Camel,Caravel,59,1004,67.0
Trade Cart,Rocket Cart,47,1904,67.0
Elite Chu Ko Nu,Elite Centurion,74,1792,67.0
Onager,Legionary,52,1793,66.0
Archer,Steppe Lancer,1,1370,66.0
Archer,Fire Lancer,1,1901,66.0
Chu Ko Nu,Lou Chuan,73,1948,64.0
Elite Berserk,Liu Bei,70,1966,64.0
Scout Cavalry,Cao Cao,64,1954,64.0
Deer,Ratha (Melee),41,1738,64.0
Spearman,Serjeant,12,1660,62.0
Militia,Leitis,15,1234,62.0
Spearman,Serjeant,12,1658,62.0
Monk,Konnik,49,1225,60.0
Monk,Konnik,49,1254,60.0
Elite Turtle Ship,Keshik,39,1228,60.0
Onager,Iron Pagoda,52,1908,60.0
Archer,White Feather Guard,1,1959,60.0
Scorpion,Centurion,57,1790,59.0
Elite Longboat,Gbeto,34,1013,54.0
Horse,Chakram Thrower,42,1741,54.0
Horse,Thirisadai,42,1750,54.0
Cataphract,Ratha,71,1759,54.0
Mameluke,Kamayuk,85,879,53.0
Cavalier,Coustillier,62,1655,53.0
Elite Conquistador,Liao Dao,76,1920,53.0
Conquistador,Condottiero,75,882,52.0
King,Sun Jian,20,1978,51.0
Conquistador,Genitour,75,1010,50.0
Battering Ram,Ghulam,54,1747,50.0
Cannon Galleon,Organ Gun,24,1001,48.0
Horse,Houfnice,42,1709,46.0
Knight,Kipchak,61,1231,46.0
